Timestamp,"On a scale of 0 to 10, how likely would you recommend Netflix? ",What best completes this sentence for you?: I am a …,What is your Gender?,Which of the following best describes you?,Do you have your own account on Netflix?,Which subscription plan do you use?,How many people share your account? ,How many times during a given month do you use Netflix?,How often do you use Netflix at night?,How often do you use earphones when watching Netflix?,"Between TV shows and movies, which do you watch more on Netflix?",Which category do you watch most on Netflix? Please select up to 3 choices.,How satisfied are you with the variety of content on Netflix?,How much do you agree with the following statement? : I prefer to watch Netflix in a quiet environment. ,How much do you agree with the following statement?: I prefer to watch Netflix with other people.,How likely are you to use Netflix over other streaming services?
4/29/2021 22:28:47,10,First year college student,Male,Hispanic/Latino,"Yes, I do",Premium,More than 4,2-5 times a week,4,4,TV shows,"Action, Dramas, Romance",4,Neither agree nor disagree,Neither agree nor disagree,4
4/29/2021 22:34:51,7,First year college student,Female,Asian,"No, I do not",Standard,More than 4,Over 5 times a week,4,4,TV shows,"Crime, Romance, K-dramas",4,Neither agree nor disagree,Disagree,4
4/29/2021 22:49:59,3,First year college student,Male,Asian,"No, I do not",,3,Less than 4 times a month,2,1,TV shows,"Action, Romance, anime",3,Strongly agree,Neither agree nor disagree,3
4/29/2021 22:57:57,7,First year college student,Female,Asian,"No, I do not",Standard,4,2-5 times a week,2,3,TV shows,"Comedies, Dramas, K-dramas",5,Agree,Agree,3
4/29/2021 23:10:59,9,First year college student,Female,Asian,"Yes, I do",Standard,More than 4,2-5 times a week,3,2,TV shows,"Action, Comedies, Horror",4,Agree,Strongly agree,5
4/29/2021 23:47:24,6,Second year college student,Male,Asian,"No, I do not",Premium,More than 4,1 time a week,2,4,TV shows,"Comedies, Horror, anime",2,Strongly disagree,Agree,3
4/30/2021 7:45:26,8,Second year college student,Female,Asian,"No, I do not",,4,2-5 times a week,3,3,TV shows,"Crime, Sci-fi & fantasy, K-dramas",4,Neither agree nor disagree,Agree,4
4/30/2021 17:06:04,7,Second year college student,Female,Asian,"Yes, I do",Premium,3,1 time a week,2,2,TV shows,"Comedies, Dramas, Romance",3,Neither agree nor disagree,Disagree,4
4/30/2021 23:10:37,8,High school student,Female,Caucasian,"Yes, I do",Standard,2,2-5 times a week,4,1,Movies,"Action, Crime, Dramas",3,Agree,Disagree,3
5/1/2021 0:24:37,7,HS student ,Female,Hispanic/ Native American ,"Yes, I do",Basic,1,1 time a week,2,5,Movies,"Dramas, K-dramas, Anime ",3,Neither agree nor disagree,Agree,3
5/1/2021 0:40:20,6,First year college student,Female,Asian,"No, I do not",Basic,0,Less than 4 times a month,2,2,Movies,"Action, Horror, Sci-fi & fantasy",4,Agree,Neither agree nor disagree,3
5/1/2021 0:41:04,7,College student in the third year or beyond,Male,Hispanic/Latino,"Yes, I do",Standard,More than 4,Less than 4 times a month,2,3,Movies,"Action, Comedies, Thriller",3,Neither agree nor disagree,Neither agree nor disagree,4
5/1/2021 0:41:11,5,First year college student,Female,Caucasian,"No, I do not",Basic,0,Less than 4 times a month,2,2,Movies,"Comedies, Crime, Sci-fi & fantasy",4,Agree,Neither agree nor disagree,3
5/1/2021 0:47:44,8,College student in the third year or beyond,Male,Hispanic/Latino,"No, I do not",Standard,3,2-5 times a week,3,1,TV shows,"Comedies, Sci-fi & fantasy, Thriller",4,Strongly agree,Neither agree nor disagree,5
5/1/2021 0:50:20,10,Second year college student,Female,Hispanic/Latino,"Yes, I do",Premium,More than 4,2-5 times a week,3,3,TV shows,"Horror, Romance, Sci-fi & fantasy",3,Neither agree nor disagree,Neither agree nor disagree,5
5/1/2021 0:51:19,8,College student in the third year or beyond,Male,Hispanic/Latino,"Yes, I do",Premium,3,2-5 times a week,3,4,Movies,"Action, Comedies, Dramas",3,Agree,Neither agree nor disagree,4
5/1/2021 1:56:27,7,Sophomore in high school ,Female,Caucasian,"Yes, I do",Premium,4,Less than 4 times a month,3,5,Movies,"Comedies, Dramas, Romance",3,Strongly agree,Agree,3
5/1/2021 2:38:50,8,College student in the third year or beyond,Male,Hispanic/Latino,"Yes, I do",Standard,2,1 time a week,4,4,Movies,"Action, Comedies, Crime",3,Neither agree nor disagree,Agree,3
5/1/2021 4:13:10,8,High school student,Female,Caucasian,"Yes, I do",Standard,2,2-5 times a week,4,1,Movies,"Action, Crime, Dramas",3,Agree,Disagree,3
5/1/2021 5:08:30,10,College student in the third year or beyond,Female,Hispanic/Latino,"Yes, I do",Premium,4,1 time a week,2,2,TV shows,"Horror, Romance, K-dramas",3,Strongly agree,Strongly agree,5
5/1/2021 5:15:01,7,HS student ,Female,Hispanic/ Native American ,"Yes, I do",Basic,1,1 time a week,2,5,Movies,"Dramas, K-dramas, Anime ",3,Neither agree nor disagree,Agree,3
5/1/2021 8:46:58,8,College student in the third year or beyond,Male,Hispanic/Latino,"Yes, I do",Standard,2,1 time a week,4,4,Movies,"Action, Comedies, Crime",3,Neither agree nor disagree,Agree,3
